#Node Number,Latitude,Longitude,Technology,Capacity
n1,43.867771,-88.717945,t3,749200
n2,44.366372,-88.2587304,t3,749200
n3,44.499718,-87.5954299,t3,749200
n4,45.044792,-89.706382,t3,749200
n5,43.9505879,-87.7465309,t3,749200
n6,44.115038,-88.2172159,t11,374600
n7,44.7366839,-87.5027549,t11,374600
n8,44.097001,-88.147437,t3,749200
n9,44.2522468,-89.9621392,t11,374600
n10,43.427712,-87.985899,t3,749200
n11,43.922701,-87.868523,t3,749200
n13,44.7807238,-88.291793,t3,749200
n14,43.3487533,-88.6550266,t11,374600
n15,44.663093,-87.588472,t3,749200
n16,44.282748,-88.108356,t3,749200
n17,44.540205,-87.789123,t3,749200
n20,44.9115979,-88.3436306,t11,374600
n21,44.369791,-88.229303,t3,749200
n23,45.330174,-91.543636,t11,374600
n25,44.6407302,-90.3771428,t11,374600
n26,43.123768,-89.548574,t11,374600
n27,44.595906,-88.789993,t11,374600
n28,42.7377646,-89.3607856,t11,374600
n29,45.115722,-87.965177,t11,374600
n30,43.702029,-88.358279,t3,749200
n31,44.2997938,-88.9616664,t11,374600
n32,43.2627431,-89.4217299,t11,374600
n37,43.563386,-88.3733479,t11,374600
n45,43.8943569,-88.5950853,t11,374600
n47,42.7853566,-90.2565106,t11,374600
n50,42.973292,-88.775482,t11,374600
n53,42.5695939,-89.4255293,t11,374600
n64,45.0086159,-91.7608218,t11,374600
n68,43.7449956,-90.7767576,t11,374600
n74,45.0032736,-90.3526429,t11,374600
n80,44.6838614,-91.8816514,t3,749200
n90,44.901323,-89.958202,t11,374600
n92,44.937498,-89.256461,t11,374600
n99,44.315446,-88.042711,t3,749200
